"order_id","coupon"
22333,"1signup"
22331,"1signup"
22330,"1signup"
22329,"1signup"
22243,"1signup"
22241,"1signup"
22221,"1signup"
22218,"happyspring"
22206,"happyspring"
22205,"happyspring"
22204,"happyspring"
22203,"happyspring"
22202,"happyspring"
22201,"happyspring"
22200,"happyspring"
22198,"happyspring"
22197,"happyspring"
22195,"happyspring"
22192,"happyspring"
22191,"happyspring"
22190,"happyspring"
22189,"happyspring"
22149,"1signup"
22096,"tenpercent"
22092,"1signup"
22086,"1signup"
22065,"1signup"
22060,"1signup"
21959,"1signup"
21941,"1signup"
21931,"love-unity"
21930,"love-unity"
21929,"love-unity"
21928,"love-unity"
21927,"love-unity"
21926,"love-unity"
21925,"love-unity"
21923,"love-unity"
21922,"love-unity"
21851,"love-unity"
21850,"love-unity"
21849,"love-unity"
21848,"love-unity"
21847,"love-unity"
21846,"love-unity"
21845,"love-unity"
21844,"love-unity"
21843,"love-unity"
21842,"love-unity"
21841,"love-unity"
21840,"love-unity"
21839,"love-unity"
21826,"1signup"
21720,"1signup"
21715,"1signup"
21714,"1signup"
21710,"1signup"
21697,"1signup"
21660,"1signup"
21659,"cloudyarn"
21600,"cloudyarn"
21599,"1signup"
21533,"1signup"
21525,"1signup"
21524,"1signup"
21521,"cloudyarn"
21519,"1signup"
21517,"1signup"
21514,"1signup"
21512,"cloudyarn"
21456,"cloudyarn"
21453,"1signup"
21446,"1signup"
21443,"1signup"
21419,"1signup"
21400,"1signup"
21398,"1signup"
21318,"1signup"
21316,"1signup"
21311,"1signup"
21308,"1signup"
21290,"hello2021"
21289,"hello2021"
21288,"goodbye2020|amount:129.54;code:hello2021"
21287,"hello2021"
21286,"hello2021"
21285,"hello2021"
21284,"1signup"
21283,"hello2021"
21282,"hello2021"
21281,"hello2021"
21280,"hello2021"
21279,"hello2021"
21278,"goodbye2020|amount:12.89;code:hello2021"
21277,"hello2021"
21275,"hello2021"
21274,"hello2021|amount:4.20;code:goodbye2020"
21273,"hello2021"
21272,"goodbye2020|amount:49.78;code:hello2021"
21271,"hello2021"
21270,"hello2021"
21269,"hello2021"
21268,"hello2021"
21267,"hello2021|amount:7.40;code:goodbye2020"
21266,"goodbye2020|amount:16.49;code:hello2021"
21264,"goodbye2020|amount:5.40;code:hello2021"
21263,"hello2021"
21262,"goodbye2020|amount:3.90;code:hello2021"
21261,"hello2021"
21260,"goodbye2020"
21258,"hello2021"
21257,"hello2021"
21256,"goodbye2020"
21255,"hello2021|amount:6.00;code:goodbye2020"
21235,"1signup"
21187,"1signup"
21184,"happyholidays"
21182,"happyholidays"
21181,"happyholidays"
21180,"happyholidays"
21179,"happyholidays"
21178,"1signup"
21177,"happyholidays"
21176,"1signup"
21175,"happyholidays"
21163,"happyholidays"
21162,"happyholidays"
21158,"yom202012|amount:5.76;code:happyholidays"
21157,"happyholidays"
21156,"happyholidays"
21155,"happyholidays"
21112,"happyholidays"
21111,"happyholidays"
21110,"happyholidays"
21109,"happyholidays"
21108,"happyholidays"
21090,"happyholidays"
20835,"1signup"
20822,"yom202012"
20821,"yom202012"
20818,"yom202012"
20815,"yom202012"
20812,"yom202012"
20806,"yom202012"
20739,"1signup"
20732,"1signup"
20731,"monday specials"
20730,"yarn of the month|amount:5.99;code:happy monday"
20729,"happy monday"
20728,"happy monday"
20727,"happy monday"
20726,"monday specials|amount:6.78;code:happy monday|amount:5.00;code:yarn of the month"
20723,"happy monday"
20722,"monday specials|amount:3.39;code:yarn of the month|amount:1.00;code:happy monday"
20721,"happy monday"
20720,"monday specials|amount:7.58;code:happy monday"
20719,"happy monday|amount:4.60;code:monday specials"
20718,"monday specials|amount:13.64;code:happy monday"
20708,"1signup"
20706,"blackfriday"
20705,"blackfriday"
20704,"blackfriday"
20703,"blackfriday"
20702,"blackfriday"
20700,"blackfriday"
20699,"blackfriday"
20698,"blackfriday"
20697,"blackfriday"
20695,"blackfriday"
20683,"blackfriday"
20682,"yarn of the month|amount:1.80;code:blackfriday"
20681,"yarn of the month"
20680,"blackfriday"
20679,"blackfriday"
20585,"1signup"
20552,"yarn of the month|amount:3.69;code:rose"
20549,"yarn of the month"
20548,"yarn of the month"
20547,"1signup"
20543,"1signup"
20542,"yarn of the month"
20345,"1signup"
20342,"yarn of the month"
20340,"1signup"
20338,"yarn of the month"
20317,"happyhalloween"
20316,"happyhalloween"
20315,"happyhalloween"
20314,"happyhalloween|amount:35.58;code:seededyarns"
20313,"happyhalloween"
20312,"happyhalloween"
20307,"happyhalloween"
20284,"happyhalloween"
20283,"happyhalloween"
20282,"happyhalloween"
20281,"happyhalloween"
20267,"1signup"
20145,"1signup"
20144,"seededyarns"
20143,"1signup"
20119,"1signup"
20034,"1signup"
20032,"1signup"
20031,"1signup"
20021,"1signup"
20008,"1signup"
19972,"1signup"
19970,"1signup"
19890,"1signup"
19834,"thankyouworkforce"
19833,"thankyouworkforce"
19832,"thankyouworkforce"
19831,"thankyouworkforce"
19830,"thankyouworkforce"
19829,"thankyouworkforce"
19828,"thankyouworkforce"
19827,"thankyouworkforce"
19826,"1signup"
19825,"thankyouworkforce"
19824,"thankyouworkforce"
19823,"thankyouworkforce"
19822,"thankyouworkforce"
19820,"thankyouworkforce"
19819,"thankyouworkforce"
19818,"thankyouworkforce"
19817,"thankyouworkforce"
19816,"thankyouworkforce"
19815,"thankyouworkforce"
19814,"thankyouworkforce"
19813,"thankyouworkforce"
19812,"thankyouworkforce"
19811,"thankyouworkforce"
19810,"thankyouworkforce"
19809,"thankyouworkforce"
19728,"merrymaid"
19727,"merrymaid"
19726,"merrymaid"
19631,"merrymaid"
19626,"1signup"
19617,"1signup"
19587,"1signup"
19557,"1signup"
19474,"summeryarn"
19473,"summeryarn"
19472,"summeryarn"
19471,"summeryarn"
19470,"summeryarn"
19469,"summeryarn"
19467,"summeryarn"
19466,"summeryarn"
19465,"summeryarn"
19463,"summeryarn"
19462,"1signup"
19461,"summeryarn"
19460,"summeryarn"
19459,"summeryarn"
19458,"summeryarn"
19409,"1signup"
19408,"1signup"
19387,"1signup"
19384,"1signup"
19335,"1signup"
19326,"1signup"
19317,"1signup"
19289,"1signup"
19275,"1signup"
19272,"1signup"
19267,"1signup"
19262,"1signup"
19251,"julyfourth"
19250,"julyfourth"
19249,"julyfourth"
19248,"julyfourth"
19247,"julyfourth"
19246,"julyfourth"
19245,"julyfourth"
19244,"julyfourth"
19243,"julyfourth"
19242,"julyfourth"
19239,"julyfourth"
19238,"julyfourth"
19237,"julyfourth"
19236,"1signup"
19235,"julyfourth"
19230,"1signup"
19226,"1signup"
19225,"1signup"
19134,"fiberfathers"
19133,"fiberfathers"
19132,"fiberfathers"
19131,"fiberfathers"
19130,"fiberfathers"
19129,"fiberfathers"
19128,"fiberfathers"
19127,"fiberfathers"
19069,"fiberfathers"
19068,"fiberfathers"
19067,"fiberfathers"
19066,"fiberfathers"
18686,"1signup"
18643,"madeintheusa"
18641,"madeintheusa"
18640,"madeintheusa"
18639,"madeintheusa"
18638,"madeintheusa"
18633,"madeintheusa"
18628,"madeintheusa"
18627,"madeintheusa"
18626,"1signup"
18625,"madeintheusa"
18624,"madeintheusa"
18623,"madeintheusa"
18613,"madeintheusa"
18612,"madeintheusa"
18611,"madeintheusa"
18610,"madeintheusa"
18543,"1signup"
18535,"momday"
18533,"momday"
18532,"momday"
18531,"momday"
18530,"momday"
18529,"momday"
18528,"momday"
18527,"momday"
18526,"momday"
18525,"momday"
18524,"momday"
18523,"momday"
18522,"momday"
18521,"momday"
18520,"momday"
18519,"momday"
18516,"momday"
18515,"momday"
18514,"momday"
18513,"momday"
18496,"1signup"
18491,"1signup"
18483,"1signup"
18449,"1signup"
18440,"1signup"
18433,"1signup"
18430,"1signup"
18418,"1signup"
18417,"1signup"
18410,"1signup"
